house,bravery_score,wisdom_score,ambition_score,loyalty_score,leadership,impulsiveness,justice_oriented,risk_taking,bravery_loyalty_ratio,wisdom_ambition_ratio,leadership_potential,moral_flexibility,calculated_thinking,courage_type,gryffindor_composite,hufflepuff_composite,ravenclaw_composite,slytherin_composite
Gryffindor,9,7,7,8,8,10,5,7,1.1111111111111112,0.9859154929577465,8.0,5,3.5,6.3,7.35,5.050000000000001,6.324999999999999,6.85
Gryffindor,9,5,7,8,8,8,10,7,1.1111111111111112,0.7042253521126761,8.0,0,3.5,6.3,8.6,6.6000000000000005,5.625,5.449999999999999
Hufflepuff,7,8,6,10,7,1,9,6,0.6930693069306931,1.3114754098360657,6.666666666666667,1,8.5,4.2,8.05,8.4,7.525,5.6499999999999995
Ravenclaw,4,8,6,8,5,3,5,7,0.4938271604938272,1.3114754098360657,5.0,5,7.5,2.8,5.8500000000000005,6.3,6.875,5.949999999999999
Ravenclaw,3,8,7,7,5,5,8,7,0.4225352112676057,1.1267605633802817,5.0,2,6.5,2.1,6.050000000000001,6.15,6.825,5.7
Slytherin,8,8,9,5,9,4,5,8,1.5686274509803924,0.8791208791208791,8.666666666666666,5,7.0,6.4,6.5,4.35,8.15,8.0
Hufflepuff,6,8,6,8,5,2,8,5,0.7407407407407408,1.3114754098360657,5.666666666666667,2,8.0,3.0,6.8,7.2,7.0,5.35
Gryffindor,7,4,6,10,6,9,8,8,0.6930693069306931,0.6557377049180328,6.333333333333333,2,2.5,5.6,8.2,6.95,4.425000000000001,4.8
Slytherin,5,6,9,4,8,6,6,7,1.2195121951219514,0.6593406593406593,7.333333333333333,4,5.0,3.5,5.4,3.9000000000000004,6.75,7.15
Hufflepuff,7,5,6,8,5,3,6,6,0.8641975308641976,0.819672131147541,6.0,4,6.0,4.2,6.8,6.55,5.45,5.1499999999999995
Slytherin,6,9,9,3,8,4,4,8,1.9354838709677418,0.989010989010989,7.666666666666667,6,7.5,4.8,5.15,3.3000000000000003,8.425,8.15
Gryffindor,8,8,6,7,9,7,8,8,1.1267605633802817,1.3114754098360657,7.666666666666667,2,5.5,6.4,7.75,6.050000000000001,7.175,6.35
Hufflepuff,7,6,5,10,6,2,7,6,0.6930693069306931,1.1764705882352942,6.0,3,7.0,4.2,7.55,7.95,6.05,5.050000000000001
Ravenclaw,7,8,7,8,8,5,6,5,0.8641975308641976,1.1267605633802817,7.333333333333333,4,6.5,3.5,6.6,6.050000000000001,7.425000000000001,6.849999999999999
Hufflepuff,7,8,6,8,3,2,8,3,0.8641975308641976,1.3114754098360657,5.333333333333333,2,8.0,2.1,6.699999999999999,7.2,6.6,4.85
Ravenclaw,3,8,7,3,4,5,8,5,0.9677419354838709,1.1267605633802817,4.666666666666667,2,6.5,1.5,4.65,4.550000000000001,6.625,5.45
Hufflepuff,4,7,4,8,5,4,6,5,0.4938271604938272,1.707317073170732,4.333333333333333,4,6.5,2.0,5.7,6.800000000000001,5.874999999999999,4.85
Slytherin,5,7,10,6,7,6,3,6,0.819672131147541,0.6930693069306931,7.333333333333333,7,5.5,3.0,4.95,3.7500000000000004,7.225,8.05
Gryffindor,10,5,5,9,10,8,10,10,1.098901098901099,0.9803921568627452,8.333333333333334,0,3.5,10.0,9.75,7.3999999999999995,5.625,5.25
Hufflepuff,5,9,7,8,5,2,8,4,0.617283950617284,1.267605633802817,5.666666666666667,2,8.5,2.0,6.3,7.000000000000001,7.675000000000001,5.9
Slytherin,7,6,8,5,10,5,5,5,1.3725490196078431,0.7407407407407408,8.333333333333334,5,5.5,3.5,5.6,4.4,7.074999999999999,7.5
Slytherin,7,8,9,5,10,3,5,9,1.3725490196078431,0.8791208791208791,8.666666666666666,5,7.5,6.3,6.3999999999999995,4.5,8.475,8.25
Gryffindor,10,6,8,6,9,9,6,7,1.639344262295082,0.7407407407407408,9.0,4,3.5,7.0,7.4,4.450000000000001,6.374999999999999,7.05
Hufflepuff,6,5,5,10,5,5,6,6,0.594059405940594,0.9803921568627452,5.333333333333333,4,5.0,3.6,7.0,7.25,5.0,4.8
Ravenclaw,5,10,7,8,5,3,5,5,0.617283950617284,1.4084507042253522,5.666666666666667,5,8.5,2.5,5.75,6.1000000000000005,8.025,6.699999999999999
Gryffindor,9,8,8,8,9,9,10,8,1.1111111111111112,0.9876543209876544,8.666666666666666,0,4.5,7.2,8.799999999999999,6.250000000000001,7.325,6.65
Ravenclaw,5,9,8,8,4,4,6,4,0.617283950617284,1.1111111111111112,5.666666666666667,4,7.5,2.0,5.8,6.0,7.425,6.3999999999999995
Ravenclaw,3,7,8,6,4,5,5,4,0.49180327868852464,0.8641975308641976,5.0,5,6.0,1.2,4.45,4.800000000000001,6.35,6.2
Ravenclaw,5,10,7,8,6,2,7,4,0.617283950617284,1.4084507042253522,6.0,3,9.0,2.0,6.05,6.750000000000001,8.350000000000001,6.549999999999999
Gryffindor,6,6,6,9,8,7,8,10,0.6593406593406593,0.9836065573770493,6.666666666666667,2,4.5,6.0,8.05,6.85,6.025,5.7
Hufflepuff,7,5,6,7,3,3,9,6,0.9859154929577465,0.819672131147541,5.333333333333333,1,6.0,4.2,7.3,6.9,5.050000000000001,4.05
Ravenclaw,4,10,8,5,4,5,5,6,0.7843137254901962,1.234567901234568,5.333333333333333,5,7.5,2.4,4.9,4.4,7.7749999999999995,6.8
Hufflepuff,4,6,4,9,7,5,6,3,0.43956043956043955,1.4634146341463417,5.0,4,5.5,1.2,5.550000000000001,7.05,5.675,5.1499999999999995
Hufflepuff,6,6,2,8,6,3,9,4,0.7407407407407408,2.857142857142857,4.666666666666667,1,6.5,2.4,6.85,8.100000000000001,5.325,3.6000000000000005
Hufflepuff,7,7,6,10,5,5,8,3,0.6930693069306931,1.1475409836065575,6.0,2,6.0,2.1,7.199999999999999,7.55,6.15,5.15
Ravenclaw,7,9,7,6,6,5,8,7,1.1475409836065575,1.267605633802817,6.666666666666667,2,7.0,4.9,7.0,5.75,7.500000000000001,6.15
Slytherin,5,6,10,5,10,3,7,8,0.9803921568627452,0.594059405940594,8.333333333333334,3,6.5,4.0,6.1,4.8,7.725,7.800000000000001
Hufflepuff,7,7,6,10,4,4,8,5,0.6930693069306931,1.1475409836065575,5.666666666666667,2,6.5,3.5,7.6,7.699999999999999,6.074999999999999,4.9
Ravenclaw,6,10,9,5,4,5,8,6,1.1764705882352942,1.098901098901099,6.333333333333333,2,7.5,3.6,6.25,4.95,7.975,6.550000000000001
Gryffindor,8,4,7,9,6,6,8,9,0.8791208791208791,0.5633802816901409,7.0,2,4.0,7.2,8.450000000000001,6.799999999999999,5.0,5.15
Hufflepuff,6,6,4,10,5,5,7,6,0.594059405940594,1.4634146341463417,5.0,3,5.5,3.6,7.25,7.7,5.2749999999999995,4.45
Gryffindor,8,7,8,6,7,6,10,8,1.3114754098360657,0.8641975308641976,7.666666666666667,0,5.5,6.4,8.0,5.9,6.825,5.95
Slytherin,8,6,6,7,9,5,3,5,1.1267605633802817,0.9836065573770493,7.666666666666667,7,5.5,4.0,5.9,5.1000000000000005,6.475,6.95
Hufflepuff,6,6,6,10,6,5,7,6,0.594059405940594,0.9836065573770493,6.0,3,5.5,3.6,7.25,7.3,5.875,5.4
Slytherin,5,9,10,4,10,6,6,6,1.2195121951219514,0.8910891089108911,8.333333333333334,4,6.5,3.0,5.2,3.7,8.775,8.6
Slytherin,7,9,9,4,9,3,6,6,1.707317073170732,0.989010989010989,8.333333333333334,4,8.0,4.2,5.8,4.3500000000000005,8.75,8.0
Hufflepuff,7,7,4,9,6,5,6,3,0.7692307692307693,1.707317073170732,5.666666666666667,4,6.0,2.1,6.449999999999999,7.05,5.95,5.1
Gryffindor,10,4,8,6,10,9,10,10,1.639344262295082,0.4938271604938272,9.333333333333334,0,2.5,10.0,9.0,5.450000000000001,5.625,6.1
Hufflepuff,7,8,5,10,3,5,6,6,0.6930693069306931,1.5686274509803924,5.0,4,6.5,4.2,7.3,7.25,6.025,4.8999999999999995
Hufflepuff,7,7,5,9,7,5,8,6,0.7692307692307693,1.3725490196078431,6.333333333333333,2,6.0,4.2,7.55,7.35,6.35,5.300000000000001
Ravenclaw,5,10,7,5,4,5,7,7,0.9803921568627452,1.4084507042253522,5.333333333333333,3,7.5,3.5,5.9,5.1,7.575,6.049999999999999
Gryffindor,7,8,8,6,6,9,9,10,1.1475409836065575,0.9876543209876544,7.0,1,4.5,7.0,7.85,5.200000000000001,6.7250000000000005,6.1000000000000005
Gryffindor,7,4,8,8,10,7,7,8,0.8641975308641976,0.4938271604938272,8.333333333333334,3,3.5,5.6,7.449999999999999,5.800000000000001,5.875,6.699999999999999
Gryffindor,9,7,5,6,10,6,8,7,1.4754098360655739,1.3725490196078431,8.0,2,5.5,6.3,7.6,6.0,6.824999999999999,6.050000000000001
Hufflepuff,5,7,6,8,8,4,6,3,0.617283950617284,1.1475409836065575,6.333333333333333,4,6.5,1.5,5.6,6.4,6.875,6.3
Ravenclaw,3,10,9,6,4,3,7,5,0.49180327868852464,1.098901098901099,5.333333333333333,3,8.5,1.5,5.15,5.4,8.225,6.75
Ravenclaw,4,10,9,6,5,5,7,5,0.6557377049180328,1.098901098901099,6.0,3,7.5,2.0,5.45,5.1000000000000005,8.175,7.0
Gryffindor,9,5,7,7,7,7,7,10,1.267605633802817,0.7042253521126761,7.666666666666667,3,4.0,9.0,8.2,5.6000000000000005,5.550000000000001,5.799999999999999
Slytherin,5,6,10,5,10,5,6,7,0.9803921568627452,0.594059405940594,8.333333333333334,4,5.5,3.5,5.65,4.25,7.475,8.0
Slytherin,7,7,10,5,7,6,7,8,1.3725490196078431,0.6930693069306931,8.0,3,5.5,5.6,6.699999999999999,4.35,7.225,7.25
Ravenclaw,4,10,6,8,8,5,5,7,0.4938271604938272,1.639344262295082,6.0,5,7.5,2.8,5.8500000000000005,6.0,8.175,7.1
Ravenclaw,6,9,8,7,7,3,6,7,0.8450704225352114,1.1111111111111112,7.0,4,8.0,4.2,6.45,5.750000000000001,8.15,7.1499999999999995
Ravenclaw,5,8,7,7,7,3,6,5,0.7042253521126761,1.1267605633802817,6.333333333333333,4,7.5,2.5,5.75,5.95,7.4750000000000005,6.599999999999999
Hufflepuff,5,5,6,9,6,3,6,3,0.5494505494505495,0.819672131147541,5.666666666666667,4,6.0,1.5,5.85,6.949999999999999,5.65,5.3999999999999995
Slytherin,8,6,8,6,8,4,5,8,1.3114754098360657,0.7407407407407408,8.0,5,6.0,6.4,6.75,4.950000000000001,6.799999999999999,7.0
Ravenclaw,5,10,8,7,7,5,5,5,0.7042253521126761,1.234567901234568,6.666666666666667,5,7.5,2.5,5.5,5.200000000000001,8.375,7.55
Slytherin,8,7,9,6,7,6,5,8,1.3114754098360657,0.7692307692307693,8.0,5,5.5,6.4,6.75,4.45,7.025,7.300000000000001
Hufflepuff,5,7,4,8,4,2,7,5,0.617283950617284,1.707317073170732,4.333333333333333,3,7.5,2.5,6.25,7.3500000000000005,5.924999999999999,4.4
Slytherin,6,6,8,4,8,4,3,7,1.4634146341463417,0.7407407407407408,7.333333333333333,7,6.0,4.2,4.95,3.65,6.799999999999999,7.4
Hufflepuff,5,8,3,9,3,5,6,3,0.5494505494505495,2.5806451612903225,3.6666666666666665,4,6.5,1.5,5.85,7.25,5.625,4.2
